"Age","Total","Male","Female"
"All",331893745,164350703,167543042
"Under 5",18661245,9552445,9108800
" 5 to 9",20010813,10284656,9726157
"10 to 14",21821492,11155383,10666109
"15 to 19",21824088,11171156,10652932
"20 to 24",21382643,10925030,10457613
"25 to 29",22100453,11211933,10888520
"30 to 34",22978685,11595901,11382784
"35 to 39",22371398,11321797,11049601
"40 to 44",21362163,10702211,10659952
"45 to 49",19782325,9867371,9914954
"50 to 54",20891392,10418635,10472757
"55 to 59",21141152,10438687,10702465
"60 to 64",21673882,10513756,11160126
"65 to 69",18351785,8699905,9651880
"70 to 74",15426419,7204611,8221808
"75 to 79",9872768,4420293,5452475
"80 to 84",6278369,2695951,3582418
"85+",5962673,2170982,3791691
